GF3 code,standard_name,Name,units,P06 unit name,P06 unit code,MEDS match,IML match,P01 code,P01: preferred name
ABSH,specific_humidity,Absolute Humidity,g m-3,Grams per cubic metre,UGMC,Y,Y,CHUMZZ01,Relative humidity of the atmosphere
ALKY,,Total Alkalinity,mmol m-3,Millimoles per cubic metre,MMCM,Y,Y,ALKYZZXX,Total alkalinity per unit volume of the water body
ALPO,,Alpha-0,m**3/kg,,,NA,Y,,
ALTS,, Height/Altitude above Mean Sea Level ,metres,Metres,ULAA,Y,Y,AHSLZZ01,Height above sea level (spatial co-ordinate)
ALTB,, Height/Altitude above Bottom  units: metres,metres,Metres,ULAA,Y,NA,AHSFZZ01,Height above bed in the water body
ATMP,air_pressure,Atmospheric pressure,hPa,,,,,,
AMON,millimole_concentration_of_ammonium_in_sea_water, Ammonium (NH4-N) Content  ,mmol m-3,Millimoles per cubic metre,MMCM,Y,Y,MDMAP004,Concentration of ammonium {NH4+ CAS 14798-03-9} per unit mass of the water body [unknown phase]
ATP,,Adenosine Triphosphate content,mg/m**3,,,,,ATPXZZDZ,Concentration of adenosine triphosphate {ATP CAS 56-65-5} per unit volume of the water body [dissolved plus reactive particulate <unknown phase]
ATMS,air_pressure_at_mean_sea_level, Atmospheric Pressure at Sea Level  , hpa,hectopascal,HPAX,Y,Y,,
ATRK,, Along Track Displacement , metres,Metres,ULAA,Y,Y,,
BAC,,Bacteria Counts,10**6/L,,,,,TBCCXXXX,Abundance of Bacteria (ITIS: 202421: WoRMS 6) per unit volume of the water body
ATTU,, Attenuance  ,m-1,Number per metre,NOPM,NA,N: specifies ADCP,ATTNXXZZ,Attenuation (unspecified wavelength) per unit length of the water body
BATT,,Battery Voltage,volts,,,,,,
BIOV,,Organism Volume,mL,,,,,CVOLUKNB,Biovolume of biological entity specified elsewhere per unit volume of the water body
BNO7,,Best NODC7 number,1,,,,,,
BATH,,Bathymetric Depth  ,metres,Metres,ULAA,Y,Y,BATHDPTH,Sea-floor depth (below mean sea level) {bathymetric depth}
CDOM,,Fluorescence of CDOM (Coloured Dissolved Organic Matter),mg m-3,,,,,CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry
CDOMSDEV,,Fluorescence of CDOM (Coloured Dissolved Organic Matter) standard deviation,mg m-3,,,,,,
CDWT,,Detail data: Calculated dry weight derived using a regression,mg/m?,,,,,,
CALK,,Carbonate Alkalinity  ,mmol m-3,Millimoles per cubic metre,MMCM,Y,Y,,
CHLR,,  Chlorinity (parts/thousand)  ,g/kg,grams per kilogram,UGKG,Y,Y,,
CMET,,Method used for sample collection,1,,,,,,
CMNT,,Comments,1,,,,,,
CHLS,,Chlorosity  ,kg m-3,KILOGRAMS PER CUBIC METRE,UKMC,Y,Y,CLXXIETX,Concentration of chloride {Cl- CAS 16887-00-6} per unit volume of the water body [dissolved plus reactive particulate phase] by ion-selective electrode
CNTR,,Counter,1,,,,,,
CNTS,,Number of Organisms Counted,1,,,,,,
COLL,,Detail data: Name of the collector for the data,1,,,,,,
COND,sea_water_electrical_conductivity,Conductivity,mmHo,,,,,,
CNDC,sea_water_electrical_conductivity,Electrical Conductivity  ,S m-1,**,** ,Y,Y,CNDCZZ01,Electrical conductivity of the water body
CPCT,,Identifies the Percentage of Specified Plankton,%,,,,,,
