id,name,call_sign,Country_of_origin,ICES_SHIPC_ship_codes,Platform_owner,Platform_type,IMO_number,BODC Vocabulary
1,CCGS Teleost,CGCB,Canada,18TL,Canadian Coast Guard,ice-reinforced factory freeze trawler,8714346,http://vocab.nerc.ac.uk/collection/C17/current/18TL/
2,CCGS Hudson,CGDG,Canada,18HU,Canadian Coast Guard,Offshore research,5405279,http://vocab.nerc.ac.uk/collection/C17/current/18HU/
3,CCGS Alfred Needler,CG2683,Canada,18NE,Canadian Coast Guard,Offshore Fishery Science Vessel,7907104,http://vocab.nerc.ac.uk/collection/C17/current/18NE/
4,CCGS M. Perley,CGMP,Canada,18MU,Canadian Coast Guard,Nearshore Fishery Research,9656151,http://vocab.nerc.ac.uk/collection/C17/current/18MU/
4,CCGS M.Perley,CGMP,Canada,18MU,Canadian Coast Guard,Nearshore Fishery Research,9656151,http://vocab.nerc.ac.uk/collection/C17/current/18MU/
5,CCGS Sir Wilfrid Laurier,CGJK,Canada,"	18LU",Canadian Coast Guard,Arctic Class 2,8320456,http://vocab.nerc.ac.uk/collection/C17/current/18LU/
6,CCGS Viola M. Davidson,CGEC,Canada,18AU,Canadian Coast Guard,Research vessel,,http://vocab.nerc.ac.uk/collection/C17/current/18AU/
7,CCGS Amundsen,CGDT,Canada,18DL,Canadian Coast Guard,Research vessel,7510846,http://vocab.nerc.ac.uk/collection/C17/current/18DL/
8,CCGS Sigma T,,Canada,18SG,Canadian Coast Guard,Coastal Research vessel,,http://vocab.nerc.ac.uk/collection/C17/current/18SG/
8,CCGS SigmaT,,Canada,18SG,Canadian Coast Guard,Coastal Research vessel,,http://vocab.nerc.ac.uk/collection/C17/current/18SG/
9,CCGS Vladykov,CFN5960,Canada,18VD,Canadian Coast Guard,Nearshore Fishery Research Vessel,9656149,http://vocab.nerc.ac.uk/collection/C17/current/18VD/
10,CCGS Neocaligus,CFG7677,Canada,18QX,Canadian Coast Guard,Nearshore Fishery Research Vessel,,http://vocab.nerc.ac.uk/collection/C17/current/18QX/
11,CCGS Leim,CFN6223,Canada,18LO,Canadian Coast Guard,Nearshore Fishery Research Vessel,9656163,http://vocab.nerc.ac.uk/collection/C17/current/18LO/
12,CCGS Vector,CGBW,Canada,18VT,Canadian Coast Guard,Mid Shore Science Vessel,6717760,http://vocab.nerc.ac.uk/collection/C17/current/18VT/
13,CCGS Otter Bay,CG3262,Canada,18D3,Canadian Coast Guard,Mid Shore Science Vessel,,http://vocab.nerc.ac.uk/collection/C17/current/18D3/
